Type,AccountName,AccountCode,Account Groups Name,Book Accounts Name,Email Id,Address1,Address2,Address3,Maintain Balance bill by bill,Party Master Code,HLL Code,TIN Number
L,ASHOK MEDICAL-D-D,P332,Sundry Debtor,Assets,0002bhidu@gmail.com,26SAMARPAN HIGHTS,VAISHNAV DEVI ROAD,JAHGIRABAD,Billwise,P332,HUL-134996D-P16177,---
L,SHREE SAI MEDICAL-D-D-D-D,P333,Sundry Debtor,Assets,null,NR.LALITA CHOWKDI,KATAR GAM,SUMUL DAIRY ROAD,Billwise,P333,HUL-133343D-P16951,APPLYED
L,RAMDEV CHEMIST*UDAY NAGAR*-D-D-D,P334,Sundry Debtor,Assets,null,6-RAMNAGAR,PARAS BZARKATARGAM,NA,Billwise,P334,HUL-101471D-MSA2109,24222702741
L,Deepkiran Chemist*Kataragam*-D-D-D,P335,Sundry Debtor,Assets,null,AMBICA NAGAR SOC PLOT 305,KATARAGAM ROAD,NA,Billwise,P335,HUL-101471D-MSA2448,111
L,MAN MEET MEDICAL-D-D-D-D,P336,Sundry Debtor,Assets,null,PLOT NO.A/1 GAYATRI PARIWAR 2,NR.HARI HAR SOC.,SURAT,Billwise,P336,HUL-132967P2536,0
L,MATASHREE MEDICAL STORE-D-D-D,P337,Sundry Debtor,Assets,null,42-43 SIDHESHWAR SOC,VED ROAD,DABOLI CHAR RASTA,Billwise,P337,HUL-133548D-P4605,0
L,BAYOSHA MEDICAL  STORE-D-D,P338,Sundry Debtor,Assets,null,NR BAYOSHA KIRANA STORE,OPP JIVRAJ TEA DEPOT,KATARGAM SINGANPUR MAIN ROAD,Billwise,P338,HUL-133548D-P4841,NA
L,Umiya Dairy &amp; Provision Store-D,P339,Sundry Debtor,Assets,null,Shop No 3 Aakash East Pont,Canal Road Bs Panini Tanki,Bhimrad,Billwise,P339,HUL-10A176D-P67457,1
L,SHREEJI  MEDICAL-D-D,P340,Sundry Debtor,Assets,null,GOPINATH ROW HOUSE,KANTRSHWAR ROAD,KATARGAM,Billwise,P340,HUL-133548D-P4921,APPLIED FOR
L,SITARAM MEDICAL  &amp; GENERAL STORE-D-D-P-D,P341,Sundry Debtor,Assets,null,SHOP NO-2 KRISHNA COMPLEX,BAPA SITARAM CHOWK,VED ROAD KATARGAM,Billwise,P341,HUL-133343D-P17140,APPLYED
L,Prashant Medical Stores -D-D,P342,Sundry Debtor,Assets,null,78 Triveni Soc. Nr. Mahakaleshvar Kirana,Opp. Akhandanand Collage Road,Surat,Billwise,P342,HUL-134083D-P45217,NA
L,S.R. Medical Stores -D-D-P-D,P343,Sundry Debtor,Assets,null,Shop No.2 Plot No.27 Rupal Society,Opp. Akhandanand Collage Road,Surat,Billwise,P343,HUL-134083D-P45247,NA
L,Amardeep Medical &amp; General Store-D-D,P344,Sundry Debtor,Assets,null,Plot No.7 Triloknagar,Sardar Hospital Road,Opp. Akhandanand Collage Road,Billwise,P344,HUL-134083D-P45755,NA
L,Shree Ram Chemist-D-D,P345,Sundry Debtor,Assets,null,48 Ghanashyamnagar,Dabholi Main Road,Dabholi Main Road,Billwise,P345,HUL-134083D-P46070,NA
L,NILKANTH MEIDECAL -D-D,P346,Sundry Debtor,Assets,null,PLOT NO -1 VISHWAKARMA SOC,BH ANATH ASHARAM,KATARGAM ROAD SURAT,Billwise,P346,HUL-134083D-P46679,NA
L,UJVAL PHARNACY-D-P,P347,Sundry Debtor,Assets,null,SHOP NO. 2 SARSWATI APT.,AKHAND AANAND SOC. NEAR BRTS,DABHALIGAV SURAT,Billwise,P347,HUL-134083D-P46992,NA
L,JAY JALARAM MEDICAL &amp; GENERAL STORES-D,P348,Sundry Debtor,Assets,null,35 TRIBHUVAN NAGAR,OPP. AKHAND ANANAD SCHOOL,VED ROAD SURAT,Billwise,P348,HUL-134083D-P48620,NA
L,GOPINATH MEDICAL STORE-D-D-P,P349,Sundry Debtor,Assets,null,SHOP NO-11SAROVAR VIEW APP,OPP-SMC GARDEN,DABHOLI GAM,Billwise,P349,HUL-134083D-P51479,---
L,JAY MEDICAL D-D-D,P350,Sundry Debtor,Assets,null,24MADHAV RES-C,COZWAY ROADSINGANPURA,SURAT,Billwise,P350,HUL-134083D-P51568,NA
L,Om Medical &amp; General Store-D,P351,Sundry Debtor,Assets,null,Shop No 252 Akash Ganga Soc.Rashi CircleKatargam,Same,Same,Billwise,P351,HUL-10A225D-P63768,1
L,SHIVAM MEDICAL STORES-D-D-D-D-D-D-D,P352,Sundry Debtor,Assets,null,G-1,THAKOR DWAR SOC;,PALANPUR PATIYARANDER,Billwise,P352,HUL-133172D-P7241,UNREGISTER
L,BHAGWATI MEDICAL STORES,P353,Sundry Debtor,Assets,null,2NIRMAL NAGAR SOC.,VED ROAD,SURAT,Billwise,P353,HUL-134083D-P55725,NA
L,RADHEY MED*DABHOLI*-D-D-D,P354,Sundry Debtor,Assets,null,87SANTOSHI NAGAR-3AMBA TALAVADI,NR-SHIV NAGAR LALITA CHOKDI DABHOLI,,Billwise,P354,HUL-101471D-P13702,0
L,Dev Bakary-D,P355,Sundry Debtor,Assets,null,Shop No 7,Suda Avas,Near Bharti Me School Near Big Bajar Vesu,Billwise,P355,HUL-10A176D-P68584,1
L,AKAS  MEDICAL STORE *-D-D,P356,Sundry Debtor,Assets,null,FPOLT NO -6,HARI NAGAR SOCITY,OPP.GULABWADI,Billwise,P356,HUL-133100P1043,0
L,PRAMUKH MEDICAL-D-D,P357,Sundry Debtor,Assets,null,SHOP NO-1RELAINCE NAGAR-1,GUJRAT HOUSING BOARD,SHREE RAM CHOK,Billwise,P357,HUL-134996D-P21524,-----
L,HARE KRISHNA MEDICAL-D-D-D-D,P358,Sundry Debtor,Assets,null,COLLEGE ROAD,AMROLI GAM,SURAT,Billwise,P358,HUL-131916P61,APPLIED FOR
L,GOPINATH MEDICAL-D-D,P359,Sundry Debtor,Assets,null,SH NO-3 YOGESHWARI SOC PART-2,OPP RAJWADI PARTY PLOT,NEW KOSAD ROAD,Billwise,P359,HUL-131916P778,*********
L,KHODAL KRUPA MEDICAL-D-D,P360,Sundry Debtor,Assets,null,946PARTH SOC,SAYAN ROAD,S,Billwise,P360,HUL-133173P845,APP
L,SHREENATHJI MEDICAL-D-D,P361,Sundry Debtor,Assets,null,NR/GAYATRI GEN,SAYAN ROAD,S,Billwise,P361,HUL-133172D-P5361,UNREGISTERED
L,RANDALKRUPA MEDICAL-D-D,P362,Sundry Debtor,Assets,null,NR.BHAGAYA LAXMI MEDICAL,AMROLI MAIN ROAD,SURAT,Billwise,P362,HUL-101471D-MSA408,11111
L,Ranchhod Jee Medical Store-D,P363,Sundry Debtor,Assets,null,Shop No.3 Deram Comp.,Ranchhod Nagar Singhanpur Main Road,Surat,Billwise,P363,HUL-133548D-P4977,APPLIED FOR
L,Maitri Med* Sumul Dairy*-D-D-D,P364,Sundry Debtor,Assets,null,5MAHAKALI PARK,NEW GIDC FULPADA,NA,Billwise,P364,HUL-101471D-MSA366,24222701737
L,CHAMUNDA  MEDICAL &amp; GEN STORE-D,P365,Sundry Debtor,Assets,null,OPP.SANJIVANI MED,REHAMAT NAGAR PALOD,VED ROAD SURAT,Billwise,P365,HUL-133100P1289,NA
L,GANESH MED*KATARGAM*D*-D-D,P366,Sundry Debtor,Assets,null,56KAMAL APTAMBICA NAGAR,NR-BHIDBHUNJAN HANUMAN TEMPLEKATARAGAM,NA,Billwise,P366,HUL-101471D-MSA2130,24222701909
L,HARE KRISHNA  Med*KATARGAM*-D-D-D,P367,Sundry Debtor,Assets,null,24KUBER NAGAR 1,NEAR KATARGAM DARWAJA,NA,Billwise,P367,HUL-101471D-MSA1522,24222702389
L,SEJAL MEDICAL AND GENERAL STORES,P368,Sundry Debtor,Assets,null,SH.NO.2SARASHWATI COMP.,OPP.SUBHASH BAUGDANDI ROAD,MORA BHAGALSURAT,Billwise,P368,HUL-133539D-P8693,APPLIYED FOR
L,REVER VEW MEDICAL  STORE -D-D-D,P369,Sundry Debtor,Assets,null,1/524 REVER VEW SIC,NR.MADHINA MASCHID  FOOL WADI,PALOD  VED ROAD,Billwise,P369,HUL-101471D-P10924,0
L,BHAVANI MEDICINES*SINGANPOR-D-D-D,P370,Sundry Debtor,Assets,null,VIJAYRAJ SOC. KOZWE,SINGAN POOR ROAD,SURAT,Billwise,P370,HUL-133100P922,24222601312
L,Krushna Medical Store-D,P371,Sundry Debtor,Assets,arunbuha2223@gmail.com,Shop Noi.1 Gr Floor Sidhhi Vinayak,Residency,Singhanpor,Billwise,P371,HUL-134107D-P9806,NA
L,RAVI MEDICALS *Ved Road*-D-D-D,P372,Sundry Debtor,Assets,null,TRILOK SOC,OPPAKHANAD COLLEGEVED RD,NA,Billwise,P372,HUL-101471D-MSA216,111111
L,ASHA MED*SINGANPUR*SMART*-D-D-D,P373,Sundry Debtor,Assets,null,SHOP NO 3SHREE JI DARSHAN APT,NEAR CHIKUWADI CHARRASTAKATARGAM ROAD,,Billwise,P373,HUL-101471D-MSA560,111111
L,NIDHI MEDICAL (REHEMAT NAGAR )-D,P374,Sundry Debtor,Assets,null,RAHEMAT NAGAR,VED ROAD,PANDOL  IND SURAT,Billwise,P374,HUL-133172D-P14716,*****
L,AMI MEDICAL STORE*MAGAN NAGAR*D*-D-D,P375,Sundry Debtor,Assets,null,SHOP 2 MURLIDHAR AP MAGANNAGAR 2,KATAR GAM SING PUR ROAD,NA,Billwise,P375,HUL-101471D-MSA2373,24222702891
L,RADHE MEDICAL*SINGANPUR*-D-D-D,P376,Sundry Debtor,Assets,uttamsutariya5@gmail.com,5PARTHCOMPLEXNRHASMUKISCHOOL,SINGANPURMAINROAD,NA,Billwise,P376,HUL-101471D-P11017,0
L,AMI MEDICO GEN*KATARAGAM*-D-D-D,P377,Sundry Debtor,Assets,null,SHOP 1HARSH COMP.,OPPBUS STOP KATARGAM MAIN RD,KATARGAM POLICE STATION,Billwise,P377,HUL-101471D-MSA2453,24222703096
L,BIHAR MEDICAL STORES-D,P378,Sundry Debtor,Assets,aniketchaurasia1430@gmail.com,1TRILOK SOC69VED RD,SURAT,SURAT,Billwise,P378,HUL-133100P60,APPLIED FOR
L,Akshar Live Bakery-D,P379,Sundry Debtor,Assets,null,Kevdiya Farm,Near Janvi Medicine,Haridarshan No Khado Dabholi,Billwise,P379,HUL-10B234D-P26850,1
L,FORAM MEDICAL &amp; PRO STORE-D-D-D-D-D-D,P380,Sundry Debtor,Assets,null,G80 SHREEJI ARCADE NR VG MARK,ANAND MAHEL ROAD,SURAT,Billwise,P380,HUL-131916P152,APPLIED FOR
L,SHREE MARUTI MEDICAL ST-D-D-D-D-D-D,P381,Sundry Debtor,Assets,null,11-TIRUPATI APARTMENT GANESHPURA,CHHAPARBHATHA ROAD,SURAT,Billwise,P381,HUL-132967P2933,24222500244
L,SHUBHAM MEDICALS*KATARGAM*-D-D-D,P382,Sundry Debtor,Assets,null,MURLIDHAR APPRTBEH-MAGAN NAGAR 2,KATARGAM SINGANPOR ROAD,NA,Billwise,P382,HUL-101471D-MSA1985,111
L,Topovan Medical Store-D-D,P383,Sundry Debtor,Assets,null,Opp.umiyamedical,Hari Om Mill Drutarak Soc.,Ved Road,Billwise,P383,HUL-101471D-9182,APPLIED FOR
L,RIDDHI SIDDHI MEDICAL-D-D-D-D-D-D-D,P384,Sundry Debtor,Assets,null,GANESHPURA HOUSING,GANESH PURA,SURAT,Billwise,P384,HUL-132967P2908,0
L,AXAR MEDICAL STORE-D-D-D-D,P385,Sundry Debtor,Assets,null,SHOP NO-7SHED NO-1MAHAKALI BHAG,OPP SURAJ MEDICAL ST,KATARGAM GIDC,Billwise,P385,HUL-133343D-P16948,APPLYED
L,JAY GANESH MEDICAL STORES,P386,Sundry Debtor,Assets,null,PLOT NO 294-295 NR NIDHI MED,OPP KESAV MEDICAL,NEW PANDOL,Billwise,P386,HUL-133343D-P18112,0
L,SAHEB MEDICAL-D-D-D-D,P387,Sundry Debtor,Assets,null,FOOL WADIOPP.POOJA MEDICAL,BHARI MATA WED ROAD,SURAT,Billwise,P387,HUL-132967P2749,0
L,SAJIVANI MED*PANDOL*-D-D-D-D-D-D,P388,Sundry Debtor,Assets,null,SH NO 1/2Rahmat  Nag,Nr Dev Narayan Shop Nr Bhagwati Kir,SURAT,Billwise,P388,HUL-132967P2763,0
L,PATEL PROVISION STOR-D,P389,Sundry Debtor,Assets,null,5 AMBIKA SOC.,NR. KESARIYA SUPER,FULPADA,Billwise,P389,HUL-132967P2808,0
L,TRIPURA MEDICINE*KATARGAM-D-D-D,P390,Sundry Debtor,Assets,null,LALITPARK SCOVRUNDAVN COMB/H,SURAT,SURAT,Billwise,P390,HUL-133100P25,24222703201
L,Shivam Medical&amp; General Store-D-D,P391,Sundry Debtor,Assets,null,1/2 Swaminarayan Nagar,Nr.Swaminarayan Mahila Mandir,Ved Road,Billwise,P391,HUL-133343D-P11443,APPLIED FOR
L,DRASHTI MEDICAL AND GENERAL STORES-D,P392,Sundry Debtor,Assets,null,HARE KRIHNA SOC 12 MAYUR COL.,,,Billwise,P392,HUL-101471D-MSA1674,11111
L,PRAMUKH MEDICAL-D-D,P393,Sundry Debtor,Assets,null,SHOP NO-2SMC SHOPING CENTER,NR.ARURVEDIC COLLECGE,LALDARWAJA ST RD SURAT,Billwise,P393,HUL-134083D-P44261,NA
L,KRISHNA MEDICAL STO*SINAGANPUR*-D-D-D,P394,Sundry Debtor,Assets,khadelavijay4520@gmail.com,1GEETA NAAGR SOCIETY,SINGANPUR ROAD,,Billwise,P394,HUL-101471D-P11587,0
L,Pavan Medical-D,P395,Sundry Debtor,Assets,null,Laxmi Place,Sahajanad Chok,DabholicharRasta,Billwise,P395,HUL-10A225D-P64139,1
L,Bahuchar  medical and provision store,P396,Sundry Debtor,Assets,vinaypatel.vp52@gmail.com,PALANPUR JAKAT NAKA,RANDER,SURAT,Billwise,P396,HUL-134996D-P17138,----
L,UTSAV MEDICAL*CHIKUWADI*SMART*-D-D-D,P397,Sundry Debtor,Assets,null,72HAREKRISHNASOCMAYURAPT.,HAREKRISHNASOCKATARGAMSINGANPORROAD,NA,Billwise,P397,HUL-101471D-1650MSA,1111
L,KRISHNA MEDICAL STRORES U2NC-D,P398,Sundry Debtor,Assets,dewasirkd@gmail.com,10 SANGARM SOC RAMKATHA ROAD,AMBATAVALI  KATARGAM,SURAT,Billwise,P398,HUL-134083D-P51861,NA
L,VARNI MEDICAL STORE-D-D-D-D,P399,Sundry Debtor,Assets,null,SHOP NO-3AKSHAR KUNG,APP.OPPLAXMI ENCLAVE,GAJERA SCHOOL RD,Billwise,P399,HUL-134083D-P54903,NA
L,AMRUT MEDICAL-D-D,P400,Sundry Debtor,Assets,viraliviru@gmail.com,SHOP-4 DIPANJLI SOC.PALANPUR JAKATNAKA 1,ADAJAN,ADAJAN,Billwise,P400,HUL-134996D-P17188,---
L,VASUDEV MEDICAL &amp; GENERAL STORE-D-D-D,P401,Sundry Debtor,Assets,null,20SHANGRILA HIGHT,UTRAN MOTAVARACHA,SURAT,Billwise,P401,HUL-134508D-P10432,----
L,BAYOSHA MEDICAL &amp; GENERAL STORES-D-D-D-D,P402,Sundry Debtor,Assets,null,SHOP NO-3SHIVAM FLATE-,JAGJIVAN SOC.NEW-,MOHALLACHAR RSTAKOZWAY,Billwise,P402,HUL-134083D-P56656,NA
L,SHREE MAA MEDICAL STORES-D-D-D-D,P403,Sundry Debtor,Assets,null,SHOP NO-10 DANEV,AIRSTATE NANDUDOSINI VADI,KATARGAM SURAT,Billwise,P403,HUL-134083D-P57688,NA
L,SHREE MAA KRUPA MEDICAL STORE  -D-D-D-D,P404,Sundry Debtor,Assets,null,PLOT NO -246 OPP.KESHAV PARK,PANDOL VED ROAD,SURAT,Billwise,P404,HUL-134083D-P58038,NA
L,Rudra Medical Stocre-D,P405,Sundry Debtor,Assets,null,Shop No -23 Plot No.99,Trilok Society Ved Road,Surat,Billwise,P405,HUL-134083D-P58048,NA
L,UMIYA MEDICAL STORE-D,P406,Sundry Debtor,Assets,null,NR. JAY GANESH MEDICAL,MUNJANI CHEMBAR PANDOL,VED ROAD SURAT,Billwise,P406,HUL-101471D-MSA1941,0
L,RAJ HANS MED STO******-D-D-D,P407,Sundry Debtor,Assets,null,B/134KUBER NAGAR 1,KATARGAM DARWAJA,KUBER NAGAR SOCIETY,Billwise,P407,HUL-101471D-P13858,11111
L,VARSHA MEDICAL &amp; PROVISION STORE-D-D,P408,Sundry Debtor,Assets,null,PLOT NO-9495 VISHRAM NAGAR SOCIETY,LAKSHMI DAIRY STREET,VED ROAD,Billwise,P408,HUL-101471D-P2926,111
L,SHARMA MEDICAL STORE-D-D-D-D-D-P,P409,Sundry Debtor,Assets,null,SHOP NO. P-1 JAIRAJ SOCIETY,ICHHAPORE BUS STOP NO. 3,HAZIRA ROAD,Billwise,P409,HUL-134083D-P11283,NA
L,VIKAS MED STO*VED ROAD*-D-D-D,P410,Sundry Debtor,Assets,null,1/2 TRIBHOVAN NAGAR SOCIETY,OPP AKHAND ANAND COLLEGEVED ROAD,,Billwise,P410,HUL-101471D-P11245,24222600235
L,LAHER CHEMIST-D-P,P411,Sundry Debtor,Assets,null,SHOP.NO.2AMBIKA PARK SOC,SUMUL DAIRY ROAD,,Billwise,P411,HUL-134083D-P9343,NA
L,MAHAVIR MED STO*KATARGAM*-D-D-D,P412,Sundry Debtor,Assets,null,4PADMAVATI FLAT,PATEL FALIAKATARGAM,NA,Billwise,P412,HUL-101471D-MSA197,111111
L,SHREE PRANATH MEDICAL STORES,P413,Sundry Debtor,Assets,null,OMKAR CHAMBERSPRABHU NAGAR SOCIETY 1,B/H MADHAVANAND ASHARAM,,Billwise,P413,HUL-101471D-MSA2046,11111
L,Sarswati Medical &amp; General Store-D,P414,Sundry Debtor,Assets,null,Rehemat Nagar,Pandol,Surat,Billwise,P414,HUL-133172D-P7058,UNREGISTER
L,Bholenath Ice Cream-D,P415,Sundry Debtor,Assets,null,Shop No 24 Sanai Residency,Opp.Parshuram Garden,Adajan,Billwise,P415,HUL-10A225D-P62736,1
L,Surat Medical And Provision Stores,P416,Sundry Debtor,Assets,null,J-17 Raverview Society,Ful Wadi,SURAT,Billwise,P416,HUL-131916P2536,APP
L,RAJLAXMI MEDICAL &amp;GENERAL STORE-D,P417,Sundry Debtor,Assets,ishwarlalm223@gmail.com,Plot.No.15 Ground Floor Mina Nagar Ved Rod Surat,Near Mukesh Kirana,%&amp;*()+.,Billwise,P417,HUL-10A225D-P62292,1
L,Aarogya Medical-D,P418,Sundry Debtor,Assets,null,SHOP NO-22GREEN ENCLAVE,NRSARDAR BRIDGE,ADAJAN,Billwise,P418,HUL-134996D-P17325,----
L,SHREE AAIJI CHEMIST &amp; GENERAL STORE-D,P419,Sundry Debtor,Assets,null,PLOT NO. 12 BALAJI NAGAR DABHOLI ROAD,PRAKASH KIRANA DABHOLI ROAD,Katargam,Billwise,P419,HUL-10A225D-P62310,1
L,BHARTIYA JAN AAUSHDHIKENDRA-D-D,P420,Sundry Debtor,Assets,null,G-9RAJ GREEN HIGHT,SAROLI JAKATNAKA,JAHAGIR PURA,Billwise,P420,HUL-134996D-P17330,----
L,TULJA BHAVANI MEDICAL GENRAL-D,P421,Sundry Debtor,Assets,null,SHOP NO 8 STAR RESIDENCY,BIHEND RAJWADI PARTY PLOT,NEW KOSAD ROAD AMROLI SURAT,Billwise,P421,HUL-10A225D-P62371,1
L,Elife Pharmacy-D,P422,Sundry Debtor,Assets,null,Same,Same,Same,Billwise,P422,HUL-10A225D-P62408,1
L,ANNAPURNA DAIRY &amp; JANRAL STORE-D,P423,Sundry Debtor,Assets,null,Om Kar Residency Nr Mini Virpur Najik Canal Road,Palanpur Jakat Naka,Palanpur Jakat Naka Surat,Billwise,P423,HUL-10A225D-P62565,1
L,om sai medical stores,P424,Sundry Debtor,Assets,null,%&amp;*()+.,Same,Same,Billwise,P424,HUL-10A225D-P62413,1
